review_id,username,title,content,rating,review_date
7865463711,Chheanly,App crash,"Crashed when i try to exchange more money in smart thommong plan 
And Some service isn’t working",5,2021-10-01T06:20:01-07:00
7863750028,stupidd app,Stupid app,"Doesn’t work , work slow and cut my money when I don’t use cellular data",1,2021-09-30T19:43:22-07:00
7192319537,CNH88,The connection is totally trash,The worst of all.,1,2021-04-06T17:59:07-07:00
6942627021,Starcell Smart Hello user,Useless app,"Company always stole money form us 0.01$ 
To make us cannot subscribe other service (1$fee)
Event my phone just keeping in my pocket.
Than we call to ask call they ask back when you lose money ( they cannot check if u don’t remember the date 😢) my number just use in 1week.
And also the app have function history of changing but we I check is not show us anything.
So I don’t understanding how they build app for???
Cheating company",1,2021-02-01T18:00:27-07:00
6930420171,Pakrinha97,No options to unsubscribe?,I want to unsubscribe some plans but your app only give the option to subscribe and I try to search on your website too but didn’t have the right answer. Why do you create this app? TBH it’s so stupid.,1,2021-01-29T18:13:48-07:00
6569048825,Bong Han,Bad service,Horrible customer service. Easy to be hacked.,1,2020-10-24T06:58:44-07:00
6509571778,abc123@&?,Hidden Cost,"Hidden charge are so not call. I don’t mind the 2$ top up, but setting a speed limit in a certain capacity is such a shady move not to mention the crooked way of not mention about the boosting payment on your ads. 

What an unethical business move ...",1,2020-10-07T03:12:32-07:00
6451400546,RMSKHMERLOVE,ញុមឆ្ងល់ណាស់ហេតុអ្វីញុមប្រេីប្រព័ន្ទ Metfone សោះមិចបានមានពាណិជ្ចកម្ម Smart ទៅវិញចង់អោយគេប្រេីមែន,ញុមឆ្ងល់ណាស់ហេតុអ្វីញុមប្រេីប្រព័ន្ទ Metfone សោះមិចបានមានពាណិជ្ជកម្ម Smart ទៅវិញចង់អោយគេប្រេីមែន រិះគន់ដេីម្បីស្ថាបនា យល់ ok,2,2020-09-20T20:52:03-07:00
6033571575,Jan Jerry,Excellent app for all,Should use this app for your needs.,5,2020-06-04T03:20:56-07:00
5978847555,yor solik,app keep crashing,plz fix app keep crashing on ios 10.3.3,1,2020-05-22T04:57:27-07:00
5623215694,_x_unknown_x_,Crash on iphone 5 version 10.3.4,Fix this goddammit,1,2020-03-06T02:40:18-07:00
5610749139,Frankie Kao,APP WILL NOT OPEN,"For the past few days the app will not open. While the app is trying to load, it will crash and close the app within 10-20 seconds. I’ve tried to reinstall the app and restarted my phone and it is still crashing.

EDIT: problem has been fixed",5,2020-03-03T05:48:31-07:00
5596127070,sherwin0109,Current version unable to open,Previous version was fine but current release loads and crashes every time. Even after re-installing.,1,2020-02-29T02:31:47-07:00
5511902096,Ponthoeun,ipad air 2,Can we use smartnas app on ipad now?,4,2020-02-10T01:06:19-07:00
5134865380,Tol veasna,Great Smart app,Great app for smart subscriber,5,2019-11-13T20:06:48-07:00
4907631474,Yangfeiyun,为什么最近升级的几个版本都不显示已经订阅的中国通话服务的使用情况？,为什么最近升级的几个版本都不显示已经订阅的中国通话服务的使用情况？想要变更服务还要查询代码，请问什么时候可以把Smart所有的套餐和服务内容订阅和取消的方式都显示在上面？谢谢！,2,2019-10-07T22:05:26-07:00
4740211993,senhour,Cheating Services,They always find ways to deduct money from customer balance without acknowledgement.,1,2019-09-06T23:17:24-07:00
4117161021,kampot eng,credit cards,"your system is like all here inferior to
other countries. it rejects all cards 
its your system not the cards",1,2019-05-07T22:54:33-07:00
3725137359,Borin2013,Good to use,Good,5,2019-02-02T09:04:15-07:00
3521540119,Peter Safar,Booking for Smart @Home WiFi,"On app, we cannot put date to make appointment for booking Smart Homewifi after explore the nearest Smart Store. Please fix it!",1,2018-12-11T22:29:58-07:00
3174981750,iPhak,Dam ads,ហេតុអ្វីហ៊ានយកលេខអតិថិជន​ ទៅធ្វើអាជីវកម្ម​ ដោយយកទៅផ្សព្វផ្សាយពាណិជ្ជកម្មអោយក្រុមហ៊ុនផ្សេងៗ​ ដោយគ្មានការអនុញាតិពីម្ចាស់? ដឹងអត់ថាវារំខានប៉ុណ្ណា​ មួយថ្ងៃៗឃើញតែសារផ្សព្វផ្សាយ​ ពេលខ្លះហ៊ានខលមកផ្សព្វផ្សាយទៀត​ ឈប់បានឈប់ទៅ​ ឈប់យកលេខខ្ញុំទៅធ្វើអាជីវកម្មទៅ​ រំខានខ្លាំងណាស់ៗៗ! ! !,1,2018-09-10T07:27:33-07:00
3152600548,Narakserey,FIX IT FOR IPAD VER. PLEASE!!!,Crash all the time!!! It always pops out of the app when I try to open it!!!,1,2018-09-04T07:19:26-07:00
2056698767,Oni Sakak,Please update it,I couldn't log in by using iPhone 5 version 10.3.3 please kindly update and check with this problem. Thank you!,1,2018-01-04T09:07:10-07:00
1878125049,Vege70,It doesn’t support landscape mode,I need landscape mode,3,2017-10-27T01:27:52-07:00
1791333436,Phanithism,Down several times a day,"App is great, but please check ur server.",1,2017-09-15T08:19:59-07:00
1639868264,J.Tra,Good,Good,5,2017-06-10T07:06:10-07:00
1590853410,kokbunlay,alway ask to login,"everytime i open this app , it alway ask me to login again!!! it's  so boring",1,2017-04-17T00:57:54-07:00
